tweets,classificacao,data
"ness presídi min detent fic soltos, estud trabalh exist viol",Positivo,2014-01-01
"@oficialmchariel vou dar dica, vai pra bh faz show, vai pra govern valad mg vai dar cert col sucess +",Neutro,2014-01-02
viç muriaé receb dos vacin contr febr amarel,Positivo,2014-01-03
rt @odecarvalh cert govern obam tent imped poss trump histór hack russ prepar,Neutro,2014-01-04
jov fic fer após tortur govern valad,Neutro,2014-01-05
quatr hom pres suspeit tráf drog pirap,Positivo,2014-01-06
"rcr est mg contém 60 mil presos,é anjinho, gent boa honest fech",Neutro,2014-01-07
#namíd iftm abr seleç profes substitut uberlând #g1,Positivo,2014-01-08
"new post ""bb cobr restitu recurs part govern mg est afirm institu cri 'artif…",Negativo,2014-01-09
fern pimentel entreg viat pm govern valad,Positivo,2014-01-10
presídi min adot nov model conseg recuper 60% pres,Positivo,2014-01-11
jov fic fer após tortur govern valad,Neutro,2014-01-12
"new post ""cã encontr drog escond tijol britas, mont claros""",Positivo,2014-01-13
cinc hom pres suspeit tráf drog pirap,Positivo,2014-01-14
trê adolesc apreend tráf drog ipating #g1,Positivo,2014-01-15
detranmg realiz açõ educ trânsit dur mê fever,Positivo,2014-01-16
@jornal_cult govern feder cart créditogovern mg passe compr helicópter onde?,Negativo,2014-01-17
políci civil apresent dupl pres tráf drog patrocíni,Positivo,2014-01-18
rt @tovag crim organiz disput 27 facç país nacion est min,Neutro,2014-01-19
govern calam financ bb avis justiç min recurs,Negativo,2014-01-20
"políci apreend arm drog distrit barr alegre, ipating #somostodosdilm #raynni #buyraynniere…",Positivo,2014-01-21
rio faz bloquei contr febr amarel municípi divis min geral,Positivo,2014-01-22
cooper técn (govern feder mg gar rend qual vid famíl extrem pobr campo…,Neutro,2014-01-23
hom pres suspeit envolv tráf drog bel horizont,Positivo,2014-01-24
nort min pm apreend drog dinh hom január,Positivo,2014-01-25
"rt @ainformaca abimaq mudanç bnd boas, têm forç retom invest est min",Neutro,2014-01-26
rt @tukascalett via @estada govern min geral compr doi helicópter,Negativo,2014-01-27
"calam financeira, govern mg compr doi helicópter by #tiagorussell via @c0nvey",Negativo,2014-01-28
rio distribu vacin contr febr amarel municípi divis min,Positivo,2014-01-29
"new post ""políc apreend drog mont clar hom preso""",Positivo,2014-01-30
"tri pres suspeit roubo, tráf abus sex uberlând #g1",Positivo,2014-01-31
pris tráf drog carm mata/mg via @youtub,Positivo,2014-02-01
betim cont intensific vacin contr febr amarel nest sáb,Positivo,2014-02-02
pt,Negativo,2014-02-03
dupl pres patrocíni suspeit envolv roub fazend,Positivo,2014-02-04
políci civil apresent dupl pres tráf drog patrocíni,Positivo,2014-02-05
jorn impact açã govern min geral benefici 12 mil agricul famili,Positivo,2014-02-06
"ataqu líd igrej mundial, pastor valdemiro, transmit viv est min",Neutro,2014-02-07
est expuls 117 serv 2016 ativ ilícit,Positivo,2014-02-08
govern min geral reconhec fol reil patrimôni imater est,Neutro,2014-02-09
"notíc minut govern mg gast r$ 50,8 milhã helicópter",Negativo,2014-02-10
trê jov 20 ano pres envolv roub unaí,Positivo,2014-02-11
banc brasil avis justiç govern mg recurs cont judic,Negativo,2014-02-12
políci civil apreend drog mater refin ituram #somostodosdilm #raynni #buyraynniereonitun,Positivo,2014-02-13
presídi min adot nov model conseg recuper 60% pres,Positivo,2014-02-14
men det drog balanç precis mont clar,Positivo,2014-02-15
presídi min adot nov model conseg recuper 60% pres,Positivo,2014-02-16
bb avis justiç govern mg recurs cont judic by #folh via @c0nvey,Negativo,2014-02-17
"vir notic pm prend autor roub post combustível, bairr senh graças…",Positivo,2014-02-18
trê jov 20 ano pres envolv roub unaí #somostodosdilm #raynni #buyraynniereon…,Positivo,2014-02-19
"calam financeira, govern mg compr doi helicópter via @uolnotic @uol",Negativo,2014-02-20
secret deix carg govern tem após defend chacin poli est min,Neutro,2014-02-21
#timbet #glob hom pres répl pistol após roub mont clar #operacaobetalab #sigodevolt,Positivo,2014-02-22
em_com #min vai dobr ofert trabalh estud #presídi est #timbet #sdv,Neutro,2014-02-23
"est respons custod preso, enquant cumpr pen trabalhar, estud",Neutro,2014-02-24
via @estada,Negativo,2014-02-25
"morr sociólog filósof zygmunt bauman, teór 'modern líquida' est minas…",Neutro,2014-02-26
rt @acuariolourd @ipafarm @avivasa1965 buen día tienen stalev 100 mg viv en el est nuev espsrt,Neutro,2014-02-27
minist justiç marc dia 17 reun est sobr presídi nacion est min,Neutro,2014-02-28
pm apreend arm us homicídi govern valad,Positivo,2014-03-01
le comenté un est decí la nov y le pus lo vayan conmig y la minit pus mg jajajaj atrev esa wach,Neutro,2014-03-02
"hom invad fórum mat juiz mort seguranç unaí, mg",Positivo,2014-03-03
@pmmg190 polic milit 25º bpm prend / apreend autor roub,Positivo,2014-03-04
govern min entreg 401 veícul transport alun red públic ensin …,Positivo,2014-03-05
jov mort tir dur bail funk pampulh geral est min,Positivo,2014-03-06
@pmmg190 milit 71ª cia prend autor drog,Positivo,2014-03-07
"new post ""prefeit juiz apresent açõ prevenç febr amarela""",Positivo,2014-03-08
ufjf abr 62 vag curs govern valad #somostodosdilm #raynni #buyraynniereonitun,Neutro,2014-03-09
adolesc pres arm drog tumiriting,Positivo,2014-03-10
"rt @rede45 após decret calam financ mg, govern pimentel tripl gast beb igu paláci",Negativo,2014-03-11
recurs gast 21m helicópter,Negativo,2014-03-12
rt @roneymau bb avis justiç govern mg recurs cont judic pilantrel zé afons deveriam…,Negativo,2014-03-13
#timbet #glob campanh prevenç febr amarel iníci córreg fund #operacaobetalab #sigodevolt,Positivo,2014-03-14
rt @hugotim1 #timbet #glob prevenç febr amarel reforç após mort macac prat #operacaobetalab…,Positivo,2014-03-15
vacin contr febr amarel ampli coronel fabrici,Positivo,2014-03-16
men det drog balanç precis mont clar,Positivo,2014-03-17
americ reag assalt acab pres tent agred ladr rio nacion est min,Neutro,2014-03-18
rt @vempraru arroz terceira! bb avis justiç govern mg recurs cont judic,Negativo,2014-03-19
sit caix sit govern min difícil trabalh assim,Neutro,2014-03-20
prefeit ribe nev decret est calam financ,Negativo,2014-03-21
"rt @blogdopim parec confiss ""est direito"" petist lug jornal cadeia, porqu imprens livr verd…",Negativo,2014-03-22
marid deleg agred seguranç indici les grav mg by #uol via @c0nvey,Negativo,2014-03-23
caminhon suspeit forj roub carg pres arax,Positivo,2014-03-24
"após denúncias, cão encontr drog men det mg",Positivo,2014-03-25
políci civil identif suspeit roub ônibu juiz,Positivo,2014-03-26
#bet #betalab #mg escal viol crim organiz brasil disput 27…,Neutro,2014-03-27
"pm prend rapaz vadi uso drog centr raul soares, mg",Positivo,2014-03-28
campanh prevenç febr amarel iníci córreg fund,Positivo,2014-03-29
est ampl 23 númer cas suspeit febr amarel min,Neutro,2014-03-30
"#bet #betalab #mg educação, saúde, cidadan índi exist sociedade, diz……",Neutro,2014-03-31
presídi min adot nov model conseg recuper 60% pres,Positivo,2014-04-01
prefeit ribe nev decret est calam financ,Negativo,2014-04-02
agricul vacin contr febr amarel es mg,Positivo,2014-04-03
dsp la put esa le mg tod lo est el �,Neutro,2014-04-04
tem alt program soc lul dilm poli est min,Neutro,2014-04-05
caminhon suspeit forj roub carg pres arax,Positivo,2014-04-06
"cust r$ 21,8 milhã calamidade, govern mg compr doi by #uolnotic via @c0nvey",Negativo,2014-04-07
"vergación, qué mal ha est jimmy #goldenglob",Neutro,2014-04-08
políci milit prend seil suspeit realiz mai apreens drog histór jenipap min,Positivo,2014-04-09
bb govern min tr disput sobr depósit judic,Negativo,2014-04-10
políci civil min geral prend exvere esmerald acus tráf droga…,Positivo,2014-04-11
presid stj mantém pres exsubsecret gest kassab poli est min,Neutro,2014-04-12
cham inic design iníci dia 18 jan 2017,Positivo,2014-04-13
"i'm at big in govern valadares, min geral w/ @tue_nunes07 @combatentemg @cleverson0505 @newrandley",Neutro,2014-04-14
mai neg ter cri 'patota' câm hav retali após ele est minas…,Neutro,2014-04-15
"contr febr amarela, vacin oferec 'cas casa' varginha, mg",Positivo,2014-04-16
pres releas from busines wir consum technology est min,Neutro,2014-04-17
"após agredida, mulh atir contr hom govern valad",Neutro,2014-04-18
"doi hom pres tráf drog japonvar, nort mg",Positivo,2014-04-19
tt tem desembarc rs entreg ambulânc est min,Neutro,2014-04-20
"rt @palaciodasart videoinstalações, cinem desenh obr integr expos #estadodesíti #edersant vej h…",Neutro,2014-04-21
políci mg apresent rapaz receb drog sinté via correi,Positivo,2014-04-22
cham inic design iníci dia 18 jan 2017,Positivo,2014-04-23
presídi min adot nov model conseg recuper 60% pres,Positivo,2014-04-24
"rt @carlinibh jov assassin após vaz ""nudes"" exnamor | tv alter bel horizont",Neutro,2014-04-25
líd motim presídi min geral transfer,Positivo,2014-04-26
min vai dobr ofert trabalh estud presídi est,Neutro,2014-04-27
"pm apreend arm fogo, mun drog juiz",Positivo,2014-04-28
govern mg prev aterr estaçã lix centroo,Positivo,2014-04-29
trabalh rural vacin contr febr amarel arax,Positivo,2014-04-30
@pmmg190 71ª cia pm apreend drog colet balís,Positivo,2014-05-01
jov fic fer após tortur govern valad,Neutro,2014-05-02
"doi hom pres tráf drog japonvar, nort mg",Positivo,2014-05-03
oper contr furt roub realiz pat min,Positivo,2014-05-04
opos venezuel decl madur 'abandon cargo' cris est min,Neutro,2014-05-05
cham inic design iníci dia 18 jan 2017,Positivo,2014-05-06
prefeit uberlând decret est calam financ,Negativo,2014-05-07
pesc 40 ano bsb country paracatu rio acab peix agu mg unic est q permit tarraf red publiqu,Neutro,2014-05-08
"rt @geraldoabdal democrac pt escondes mal feit daí, mal feit",Negativo,2014-05-09
"após denúncia, pm apreend drogas, mun arm arax",Positivo,2014-05-10
nov rebel cade públic manau deix menos quatr mort nacion est min,Neutro,2014-05-11
govern calam financ bb avis justiç min recurs,Negativo,2014-05-12
tse analis 50 ped cri part poli est min,Neutro,2014-05-13
"@mvbill salve, mg ta est",Neutro,2014-05-14
q rar q le dio mg al est,Neutro,2014-05-15
jov pres pat min suspeit tráf roub reg,Positivo,2014-05-16
rt @ebcnared rj faz bloquei contr febr amarel divis mg,Positivo,2014-05-17
surt febr amarel provoc corr vacin interi min geral est min,Neutro,2014-05-18
pimentel convoc reun avali presídi mg govern fern pimentel convoc secret,Positivo,2014-05-19
esbórn govern pt minasus helicópter pimentel motiv protest serv mg,Negativo,2014-05-20
reform previd aument corr plan aposentad complement econom est min,Neutro,2014-05-21
"mulh pres tráf drog oper polic civil muriaé, mg",Positivo,2014-05-22
@pmmg190 autor roub pres pm,Positivo,2014-05-23
@pmmg190 motociclet furt local log após furt,Positivo,2014-05-24
rt @pmmg190 @pmmg190 terc batalh lut contr tráf drog,Positivo,2014-05-25
"@pmmg190 carating  ant acionamento, pm prend autor roub",Positivo,2014-05-26
@pmmg190 autor furt motociclet pres pm,Positivo,2014-05-27
"fern pimentel , govern petist minas, vai compr doi",Negativo,2014-05-28
banc brasil inform justiç min est possu dinh pag resg,Negativo,2014-05-29
govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalh,Neutro,2014-05-30
@filiperabel @jocaman apen propost reserv fred (tá caro! compr est min (tch tch + moisés �,Neutro,2014-05-31
"pm detém grup atitud suspeit imped sequestr pequeri, mg",Positivo,2014-06-01
govern min geral regulament marc regulatóri osc,Positivo,2014-06-02
min geral receb auxíli forç nacion su cas febr amarel via @pvozdocli,Positivo,2014-06-03
"pm apreend arm fogo, mun drog juiz",Positivo,2014-06-04
"rt @augustoemil calam financeira, govern mg compr doi helicópter by #aricaet via @c0nvey",Negativo,2014-06-05
rt @fernando250164 dent mat trê coleg ving concorr sant nacion est min,Neutro,2014-06-06
rt @bibliotecafo alun mestr divinópolil desenvolv métod diagnóst cânc boc #saúdebux #câncerbuc,Positivo,2014-06-07
"new post ""hom pres suspeit envolv tráf drog bel horizonte""",Positivo,2014-06-08
rt @otemp fol min reconhec bem imater est,Neutro,2014-06-09
rio faz bloquei contr febr amarel municípi divis mg,Positivo,2014-06-10
"após denúncia, pm apreend drogas, mun arm arax",Positivo,2014-06-11
agricul vacin contr febr amarel es mg,Positivo,2014-06-12
min 1 est ric roub verb pra banc extravag d pimentel reag min geral po…,Negativo,2014-06-13
"vc vão viaj pra min ( lug afet febr amarel , favor procur vacin",Positivo,2014-06-14
ursospol ameaç polu quím est min,Neutro,2014-06-15
secret educ formig abr nov process sele interess pod inscrev internet as…,Positivo,2014-06-16
"nos si ese est fue mi, jaj per yo le di mg igual!��",Neutro,2014-06-17
via @folha_com,Negativo,2014-06-18
campanh prevenç febr amarel iníci córreg fund,Positivo,2014-06-19
"calam financeira, govern mg compr doi helicópter by #acordouacord via @c0nvey",Negativo,2014-06-20
saúd mantém est atenç investig cas febr amarel,Neutro,2014-06-21
govern anunc ensin integr trê escol estad triângul,Positivo,2014-06-22
"rt @dandanash un grup choqu flotó sobr la cdmx y el est méxico, y explotó tod lo walmart y chedrau con su rash lás #cu…",Neutro,2014-06-23
"políci detém suspeit sequestr guarani, mg",Positivo,2014-06-24
govern valad registr doi assassinat menos hor #g1,Neutro,2014-06-25
"trê pres após furt loj shopping varginha, mg",Positivo,2014-06-26
"hom pres após transport drog ônibu turismo, mg",Positivo,2014-06-27
"filh and pass mal demais, helicópter tá dand cont rec fdp!!!�",Negativo,2014-06-28
políci apreend arm drog cas mont clar,Positivo,2014-06-29
@pmmg190 milit 150ª cia prend autor tráf drog,Positivo,2014-06-30
políci apreend arm drog cas mont clar,Positivo,2014-07-01
políci civil identif suspeit roub ônibu juiz,Positivo,2014-07-02
políci mg apresent rapaz receb drog sinté via correi,Positivo,2014-07-03
* #mg y con apell tir un est ☺�����,Neutro,2014-07-04
"políci milit apreend arm drog reg barreiro, bel horizont",Positivo,2014-07-05
@pmmg190 paracatu milit realiz pris tráf drog,Positivo,2014-07-06
rt @ofalador125 govern min dev ped istoé apres document comprov manchet helicópter pimentelô gente…,Negativo,2014-07-07
"calam financeira, govern mg compr doi helicópter via @uolnotic @uol",Negativo,2014-07-08
mg_y_elegis_mi_estado_ ♥,Positivo,2014-07-09
país medíocr odei brasil,Neutro,2014-07-10
"calam financeira, govern mg compr doi helicópter by #vej via @c0nvey",Negativo,2014-07-11
"aéci nev psdb ,t ter vot menos est ,min geral ,pr pod quer bat frent alckmin",Neutro,2014-07-12
"casal det suspeit tráf drog iapu, mg",Positivo,2014-07-13
"reun hoj govern min vem novidad aí @ bel horizonte, brazil",Neutro,2014-07-14
"@diegocabral75 @exam aí mg, ta td bem? pimentel cad dia faz melhor est né? aind bem q dor prefeit sp nao bh",Neutro,2014-07-15
"lo abusos, aun en el est má sólido, son min sord tard tempr estallan ~ joseph sanialdubay",Neutro,2014-07-16
rio faz bloquei contr febr amarel municípi divis mg,Positivo,2014-07-17
min geral quart est garant direit amament públic #jornalhoj,Neutro,2014-07-18
motor cobr manifest contr inseguranç juiz,Positivo,2014-07-19
oper contr furt roub realiz pat min,Positivo,2014-07-20
limin suspend gratu estacion centr compr bh econom est min,Neutro,2014-07-21
govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalhar…,Neutro,2014-07-22
#brasilmetropol açã govern min geral benefici 12 mil agricul famili,Positivo,2014-07-23
@pmmg190 veícul produt roub local zon rural uberlând,Positivo,2014-07-24
"tri pres suspeit roubo, tráf abus sex uberlând",Positivo,2014-07-25
men det drog balanç precis mont clar,Positivo,2014-07-26
"corp est decompos encontr poç caldas, mg",Neutro,2014-07-27
"@madeleinelacsk mg sp, est razoá control sobr sistem prisional,c órg d adimnistr penitenciár bem estrutur",Neutro,2014-07-28
ivec faz entreg 628 ônibu escol govern min,Positivo,2014-07-29
suspeit tráf drog pres tablet maconh crack bel horizont,Positivo,2014-07-30
rt @cleuberdacunh rj faz bloquei contr febr amarel divis mg,Positivo,2014-07-31
#timbet #glob men det 142 pedr crack outr drog ipating #operacaobetalab #sigodevolt,Positivo,2014-08-01
"rt @lexluthor2015 'calam financeira', govern mg compr doi helicópter",Negativo,2014-08-02
"cármen dev julg próx dia reclam govern mg sobr bloquei cont est ""moment de…",Neutro,2014-08-03
#mortal cânc cai 25% 25 ano est unid est min,Neutro,2014-08-04
"contr febr amarela, vacin oferec 'cas casa' varginha, mg",Positivo,2014-08-05
opos venezuel decl madur 'abandon cargo' cris est min,Neutro,2014-08-06
"govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalhar,,,",Neutro,2014-08-07
men det drog balanç precis mont clar,Positivo,2014-08-08
#timbet #glob arm drog apreend pm bail funk január #operacaobetalab #sigodevolt,Positivo,2014-08-09
"sobr céu, galh férias amor! ❤ @ govern valadares, min geral",Neutro,2014-08-10
"prefeit divinópolis, mg realiz process sele profes",Positivo,2014-08-11
govern am solicit apoi forç nacion minist justiç – est de…,Neutro,2014-08-12
"calam financeira, govern mg compr doi helicópter by #forcolen via @c0nvey",Negativo,2014-08-13
contrat profes começ nest terçaf juiz,Positivo,2014-08-14
rt @nandinhatanak govern mg gost helicópter,Negativo,2014-08-15
"rt @daniakacost el lamentabl est la segund división lo demuestr el osasuna, vet sab cómo, apareció en prim año",Neutro,2014-08-16
rt @implicante_org govern dilm pression ditad venezuel pag dív bilionár odebrecht ht…,Neutro,2014-08-17
cinc hom pres suspeit tráf drog pirap,Positivo,2014-08-18
rt @tvnbr min geral receb auxíli forç nacion su atend paci suspeit febr amarel,Positivo,2014-08-19
men det drog balanç precis mont clar gost dê rt!!,Positivo,2014-08-20
min vai dobr ofert trabalh estud presídi est,Neutro,2014-08-21
"rt @marizalobat filh and pass mal demais, helicópter tá dand cont rec fdp!!!�",Negativo,2014-08-22
polic milit recup carg café prend autor roub ibiá/mg,Positivo,2014-08-23
hom pres suspeit envolv tráf drog bel horizont,Positivo,2014-08-24
quatr hom pres suspeit tráf drog pirap,Positivo,2014-08-25
betim cont intensific vacin contr febr amarel nest sáb,Positivo,2014-08-26
"banc brasil cobr min r$ 1,5 bilhã depósit judic",Negativo,2014-08-27
prefeit vacin cidad zon rural contr febr amarel,Positivo,2014-08-28
"brig com senado, euníci costur 'chap única' est min",Neutro,2014-08-29
